Temperature (°C),"Magnus (610.5, 17.27, 237.3), PSY74","Magnus (611.2, 17.62, 242.2), SON90","Magnus (611.2, 17.67, 243.5), NOAA","Alternative magnus, weather.gov","Arden Buck (611.21, 18.678, 257.14, 234.5), Wiki",Arden Buck dual,ČSN EN ISO 13788
-14.0,207.1526090402308,207.35714458876475,207.99535362704194,206.92919797905566,207.78914498777948,181.25244659765565,180.6541548133306
-13.5,215.80622110789926,216.01072127018915,216.64759861127183,215.5898655170121,216.439228807654,189.7250981194198,189.12407734501414
-13.0,224.78038647228442,224.98529805609715,225.61986498062535,224.57195587628405,225.40977919212858,198.5586883226938,197.95518561288588
-12.5,234.08538248203755,234.29121638328152,234.9224375494165,233.88579384748348,234.71111220063057,207.76703198973206,207.16128845302856
-12.0,243.73176096274403,243.9390967342904,244.56587817582312,243.54198049103783,244.35382157485617,217.3644094503975,216.75665851276352
-11.5,253.73035390841954,253.93984454506887,254.5610316251188,253.55139887692212,254.3487845537785,227.3655799704866,226.75604551867096
-11.0,264.09227925006627,264.3046561966988,264.91903151664746,263.92521990226066,264.70716776726294,237.78579545103446,237.1746898509545
-10.5,274.8289467014999,275.0450250915862,275.6513063549062,274.6749081870114,275.440433208406,248.64081444375506,248.02833642923025
-10.0,285.95206368264417,286.17274781443757,286.76958564508806,285.81222804793435,286.56034428469826,259.9469164878099,259.3332489148579
-9.5,297.47364132047744,297.6999303783483,298.2859060934231,297.34924955102815,298.0789719480908,271.7209167731329,271.10622423497153
-9.0,309.4060005277988,309.638994556316,310.21261789264366,309.2983546426078,310.0087009040233,283.980181135574,283.3646074334032
-8.5,321.7617781599691,322.0026842984752,322.5623910928856,321.6722433591788,322.36223589945484,296.7426413891592,296.12630685373153
-8.0,334.5539332497659,334.8040722353389,335.34822205832364,334.4839401162502,335.15260808991525,310.0268110007944,309.4098096597212
-7.5,347.7957533204797,348.0565662673152,348.58344000982646,347.7468000762143,348.39318148557555,323.8518011127774,323.2341976984575
-7.0,361.50086077735983,361.7739162407548,362.2817136539018,361.4745155954042,362.09765947631655,338.2373369185088,337.61916371151307
-6.5,375.68321937750716,375.9702207107708,376.45705789818817,375.6811227504274,376.28009143575053,353.20377439682494,352.585027899519
-6.0,390.35714077829533,390.65993379105726,391.12384065373755,390.3810079438571,390.95487940413454,368.7721174104076,368.15275484554695
-5.5,405.5372911643853,405.85787209091853,406.2967897243153,405.588914589349,406.13678485008694,384.96403517374785,384.34397080273857
-5.0,421.2386979533848,421.5792217397057,421.9909997829337,421.31994987623403,421.84093551100426,401.80188009617524,401.1809813516554
-4.5,437.47675658018966,437.8395454988439,438.2219394358174,437.58959161362617,438.08283231204666,419.30870600548434,418.68678943284965
-4.0,454.2672373600262,454.65478996161687,455.0054583739865,454.4136951540628,454.8783563635453,437.50828675772107,436.88511376018823
-3.5,471.6262924302017,472.0412928408612,472.3577946126278,471.80850039668724,472.24377603665823,456.4251352387104,455.8004076204939
-3.0,489.57046277055315,490.01579034470734,490.29558181840855,489.7906388699606,490.1957541170828,476.08452276293525,475.4578780650927
-2.5,508.1166853025682,508.59542464048945,508.83585672487567,508.37714089387975,508.7513550366083,496.512498875394,495.8835054988896
-2.0,527.2823000671394,527.7977514069304,527.9960666360632,527.5854428216591,527.928052182272,517.7359115620887,517.1040636726173
-1.5,547.0850574808952,547.640747474692,547.7940770184208,547.4333943608206,547.743735282859,539.782427874815,539.147140083933
-1.0,567.543125671037,568.1428185553681,568.2481791811578,567.9392659736194,568.216717872464,562.68055497594,562.0411567930616
-0.5,588.6750978885949,589.3228070589769,589.3770980450822,589.1217563567172,589.3657448308102,586.4596616088808,585.8153916587099
0.0,610.5,611.2,611.2,611.0,611.21,611.21,610.5
0.5,633.0372980568574,633.7941369919954,633.7365008507244,633.5935748244203,633.769113877347,633.7690808484881,636.1260366901913
1.0,656.3069059437832,657.1254183307942,657.0066738517271,656.9225098987299,657.0631713839177,657.0629324308012,656.3838608346081
1.5,680.3291931041606,681.2145131662829,681.0310578304523,681.0072932349506,681.1127197083899,681.1120877171086,680.4483448991704
2.0,705.124992343647,706.0825677627469,705.8306653992929,705.8688796624176,705.9387762258085,705.9375492584142,705.2889572820236
2.5,730.7156077112553,731.7512138477427,731.4269912562188,731.5286987802128,731.5628364908014,731.5607971669972,730.9271083189363
3.0,757.1228224578126,758.2425770494475,757.8420205740262,758.0086629877901,758.006882304791,758.0037971709797,757.3846906938151
3.5,784.3689070715845,785.5792854224162,785.098237478164,785.3311755935766,785.2933898567172,785.2890087425548,784.6840875392733
4.0,812.4766273908403,813.7844780616659,813.218633613078,813.5191390013243,813.4453379367644,813.4393932993852,812.8481806148649
4.5,841.4692527931157,842.8818138049858,842.2267167969945,842.5959629739621,842.4862162225596,842.4784224786637,841.9003585627331
5.0,871.3705644609157,872.8954800233563,872.1465197650521,872.5855729746906,872.4400336372915,872.4300864833037,871.8645252404153
5.5,902.2048637235852,903.8502014993479,903.002609000675,903.5124185850411,903.331326779171,903.3189024997007,902.7651081305272
6.0,933.9969804750588,935.7712493933494,934.8200936550622,935.4014819996062,935.1851684216365,935.1699231864918,934.6270668270332
6.5,966.7722816671856,968.684450297461,967.6246345546517,968.2782865971351,968.0271760836807,968.0087452337128,967.4759015977966
7.0,1000.5566798783098,1002.6161953768743,1001.4424532964075,1002.1689055876698,1001.8835206696575,1001.8615179917299,1001.3376620230838
7.5,1035.376641956774,1037.5934495985384,1036.300341430754,1037.0999707353815,1036.7809351778974,1036.7549521693054,1036.238955709687
8.0,1071.2591977389932,1073.6437610469038,1072.2256697319722,1073.098681156755,1072.7467234774474,1072.716328600131,1072.206957080307
8.5,1108.2319488417374,1110.7952703265096,1109.2463975558517,1110.1928121937501,1109.808769152217,1109.7735070771391,1109.2694162378293
9.0,1146.3230775282411,1149.0767200511739,1147.3910822843836,1148.4107243615526,1147.9955444118061,1147.95493525389,1147.4546679041084
9.5,1185.561355647743,1188.5174644195226,1186.6888888572512,1187.7813723705199,1187.3361190682435,1187.289657612294,1186.7916404328582
10.0,1225.9761536480519,1229.1474788765804,1227.1695993898766,1228.3343142218987,1227.8601695778725,1227.8073244959253,1227.309864896234
